student_id,class,school_type,attendance,homework_done,exam_score,avg_grade,discipline_score,engagement_level,absences,parent_education,family_income,internet_access,teacher_rating,stress_level,motivation_level,extra_classes,name
0,10B,rural,80.1896378643059,52,73.85175529051853,4.63457253222798,0.5804298636187585,0.9131690093267724,3,low,low,1,0.8542096090867421,0.6967764547083679,0.991382771765735,1,Иван Иванов
1,11A,urban,64.94630750491666,28,55.92035324159953,3.887171523565477,0.3403048195979815,0.590751451560577,23,medium,high,1,0.7147535707060442,0.2300794021163678,0.4331091740616195,0,Иван Сидоров
2,10A,rural,70.54081977837139,22,50.10242919122364,2.683143615547227,0.1035285296301641,0.6568720003766121,5,medium,middle,1,0.8262664274789908,0.7515488916625471,0.059426523554936,0,Ольга Кузнецов
3,11A,rural,60.88498994286162,56,34.367051096710604,3.4055486831109527,0.1836438498683974,0.7817843606688685,29,low,middle,0,0.1996823945919553,0.8680884296380853,0.8990053108138277,0,Дмитрий Иванов
4,11A,rural,98.30107295651042,49,66.68953546555176,4.4269562020135655,0.3457027048507265,0.6059153286650836,10,high,low,0,0.0345747056855676,0.8145509607698326,0.1729320874249669,0,Алексей Кузнецов
5,9B,urban,56.53171907786799,20,57.84154201021356,4.768474893795115,0.8064074542922428,0.0709074584132556,0,medium,middle,1,0.8505256848098749,0.2588989155943514,0.4035198194639964,0,Ольга Петров
6,10A,urban,68.59183922832096,42,54.89835698027416,2.7107453569001274,0.1737556962298233,0.4295824236321526,1,high,low,1,0.3867542004164299,0.8042164408350875,0.2779989134609969,0,Анна Иванов
7,10A,rural,51.29194861100056,9,71.19714425381774,3.6188142050399774,0.1096642214927983,0.2620300933311447,8,medium,middle,0,0.1797224119121486,0.4133432444023837,0.963875453161763,0,Алексей Сидоров
8,10A,rural,61.08897459667732,75,65.99878070843343,2.476782650511208,0.5159390064656842,0.4867170206811838,15,medium,high,0,0.0918953652673049,0.2664634248222458,0.3780985789097976,1,Дмитрий Иванов
9,11A,urban,89.02355691900775,29,33.6918810229051,3.490999096782708,0.5586969639802648,0.404325161681738,5,low,middle,1,0.5165008060570913,0.1679714671749268,0.7087169639103551,0,Алексей Иванов
10,10B,urban,60.05876161444397,50,52.49558204220949,2.2703423622485035,0.0902413176674171,0.8265331172988476,22,low,high,1,0.1501279526119457,0.908981442506687,0.5983829719320699,0,Екатерина Кузнецов
11,10A,urban,54.00317012644828,32,40.13038574130819,4.825184209851423,0.284484479207302,0.2470475522097709,26,low,low,0,0.5666920244412568,0.4268975415166277,0.0429751716018536,1,Екатерина Иванов
12,11A,urban,73.72265899222617,17,69.48767858344198,3.9141693748478463,0.262764037914254,0.2013010592779484,8,low,middle,1,0.7273065425127446,0.8657311868828067,0.3843146784996739,1,Екатерина Сидоров
13,9B,urban,50.49846173672592,77,64.8999119734088,4.562650225141031,0.1862216094611153,0.9580862954505748,18,high,middle,0,0.5350581715162521,0.1595449889297929,0.3900219626063629,0,Екатерина Петров
14,10B,rural,54.23830772131666,21,62.44599479830845,4.994885522545719,0.3156381272006537,0.9495166138891796,4,high,high,0,0.903699782688481,0.7669934661531188,0.9898333254045116,1,Екатерина Кузнецов
15,9B,urban,90.38129347814876,63,75.29554570621526,2.547997984116135,0.0371085115382966,0.9934649649176012,20,high,low,0,0.1555696243356378,0.1100133477898896,0.8119287010585503,0,Екатерина Иванов
16,10B,rural,88.57366724298032,20,36.78127620981128,4.082430244878946,0.6515497829534784,0.5683805795463371,9,low,middle,1,0.493953473250499,0.0175649460799427,0.8566542761215217,0,Анна Петров
17,11A,rural,95.7569410202448,0,58.286599904260704,4.660958880520575,0.988487145033841,0.1131439605889985,29,medium,low,0,0.1631904593866322,0.9950493077264128,0.3135211700211747,1,Алексей Петров
18,9A,urban,92.72577179553748,14,71.1357005102409,3.72781450223537,0.6340467674692488,0.8801677407371972,6,high,low,1,0.8759019264465465,0.0735373332569909,0.3290546151133398,1,Дмитрий Смирнов
19,10B,urban,84.15877816199091,35,62.987812716755975,3.919089135099683,0.3610764505437862,0.1451149842576405,28,low,middle,1,0.932239276351138,0.4615404520628345,0.5156057084357788,0,Анна Сидоров
20,9B,rural,52.61664286503314,46,58.033479900290985,3.223013268551412,0.6679103011456768,0.1555943260291561,1,low,high,0,0.3999958816428478,0.8783853829301309,0.6310151327284356,1,Дмитрий Иванов
21,11A,urban,89.14243089933288,53,67.7114210610169,4.024282501149542,0.5715159210235763,0.1933975674860879,19,low,low,1,0.3057482578486746,0.8193795480657569,0.728293488115033,1,Алексей Иванов
22,10B,rural,92.27554054202804,85,71.66312666626749,3.186733744088372,0.8467579305873446,0.6534188353930929,26,high,low,0,0.2793160954292487,0.4711757129556081,0.820801855786188,1,Ольга Смирнов
23,9A,urban,89.95410728859773,31,63.42284365112509,3.429858914454345,0.6218745609820004,0.1071990532273224,3,medium,middle,1,0.8597273459907343,0.6108485066734489,0.8732022193405542,1,Иван Кузнецов
24,9A,urban,75.4239517654013,57,36.23104946142067,2.3087352278684747,0.6340763546212487,0.778281629011766,27,high,low,0,0.6824419246266452,0.6297061516628193,0.0246259108340408,1,Иван Смирнов
25,10A,urban,61.64509193247408,45,66.28997721701415,2.023425200541145,0.2216641882729934,0.0582515959580541,7,low,middle,0,0.8805930546538343,0.1098249830106556,0.7960958830519336,1,Алексей Смирнов
26,10A,rural,92.26649878443634,53,47.66166965481761,2.1654533724168408,0.4156272385375932,0.1104465606718201,25,low,low,0,0.117516829483783,0.2849040943396463,0.6108369897930337,1,Анна Иванов
27,9B,urban,86.35814048700692,32,50.49247589207609,2.577564922812805,0.3444160602556771,0.4344871416665286,2,low,high,0,0.47602792786407,0.3009831611810966,0.5320847794674697,0,Екатерина Иванов
28,10B,rural,99.03805871944256,38,66.69227511247185,3.369811458785196,0.0114251874037509,0.3791715019499007,1,high,high,0,0.6761790944650958,0.3781281505346685,0.6284663368583336,0,Иван Смирнов
29,10B,urban,57.78462988779665,22,59.27630843525121,2.062982212554361,0.3132807293890614,0.989708268397434,8,medium,high,1,0.897090760752795,0.2739175351459728,0.8819382457691883,0,Анна Смирнов
30,10A,rural,61.28322915260275,42,56.609554773596194,2.4678099174626977,0.4860621243229502,0.9668639567187032,27,high,high,1,0.3820192139129886,0.2514984614613226,0.5452908943075642,1,Екатерина Петров
31,10B,urban,60.589907494075135,54,46.5398615578047,4.344333811653316,0.5998486332100811,0.1896818073556255,10,low,middle,0,0.3130900727102779,0.3547855127184657,0.1621880058989672,0,Алексей Смирнов
32,10B,rural,89.62698838106684,1,27.493169178166767,4.286499674786141,0.9345689467104552,0.9466655450784626,3,low,middle,1,0.9129657091858456,0.3792265079031819,0.43677715019534,0,Алексей Смирнов
33,9A,rural,59.34536482250591,65,69.6136683000933,4.3691908750265,0.2391137593598163,0.6922619040119661,8,low,middle,1,0.0475332698301624,0.4872240567586613,0.9244595335592114,0,Дмитрий Смирнов
34,10A,rural,53.3329914911653,37,72.21143586730561,4.764622829590322,0.1524289911085583,0.4088431655332339,5,high,middle,0,0.4795954898555801,0.1735354021482895,0.8144837569072545,1,Анна Петров
35,11A,rural,99.92804032928144,28,64.1160640800056,2.3572130022035576,0.8694456889989581,0.7396309321609413,0,high,middle,0,0.4586265606065831,0.7883366635189697,0.2030456014149311,1,Анна Кузнецов
